time_stamp,Quarter_1,quarter,startup,sector,current_status,proof_of_concept,prototype_development,product_development,field_trails,market_launch,external_loans,angel_funds,vc_funds,other_funds,aic_funds,purpose,employees,turnover,gst_filed
7-19-2023 16:35:58,Q1- Apr 2023 to June 2023,Q1 2023,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,2,2,2,2,2,2400000,0,0,1900000,0,Commercialisation,0,9000,0
10-18-2023 13:05:33,Q2- July 2023 to Sept 2023,Q2 2023,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,2,2,2,2,2,0,0,0,0,700000,Commercialisation,2,0,0
01-04-2024 10:38,Q3- Oct 2023 - Dec 2023,Q3 2023,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,2,2,2,2,3,0,0,0,0,0,Market Entry,2,0,0
04-10-2024 21:02,Q4- Jan 2024 - Mar 2024,Q4 2024,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,3,3,3,0,3,0,0,0,0,0,Commercialisation,2,0,0
6-27-2024 21:38:24,Q1 - Apr 2024 - Jun 2024,Q1 2024,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,3,3,3,1,1,0,0,0,0,0,Commercialisation,2,0,0
10-08-2024 11:28,Q2 - July 2024 - Sept 2024,Q2 2024,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,3,3,3,1,1,0,0,0,0,0,Market Entry,2,0,0
1-17-2025 13:26:50,Q3 - Oct 2024 - Dec 2024,Q3 2024,POWSTIK INNOVATIONS PRIVATE LIMITED,Healthcare & Lifesciences,Active,3,3,3,1,1,0,0,0,0,1400000,Prototype Development,0,0,0
7-21-2023 11:46:01,Q1- Apr 2023 to June 2023,Q1 2023,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,3,0,0,0,0,0,Commercialisation,1,0,0
10-18-2023 17:17:51,Q2 - July 2023 - Sept 2023,Q2 2023,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,1,0,0
01-04-2024 10:01,Q3 - Oct 2023 - Dec 2023,Q3 2023,BIO ENVIRO FUTURE INFRA TECH PRIVATE LIMITED,Waste Management,Graduated,4,4,4,4,4,0,0,0,0,0,Commercialisation,1,0,0
